id,name,price,sale_price,style,sales,type,color,date,url
355829WORN DARK,男裝深色簡約五口袋牛仔褲,1999.0,1199.0,000355829,20,不顯示,做舊牛仔,2020-02-21 17:27:54,https://awsresources.baozun.com/aws/96001088/20190927/21E9A1E034310F045DDF157B34597A83.jpg
1_000199476_HO13-31046,男裝棉質丹寧靛藍水洗束腳牛仔褲,2699.0,1699.0,000199476,19,不顯示,深色水洗做舊,2020-02-21 17:27:54,https://awsresources.baozun.com/aws/96001088/20191010/6C36041D375EB3A8E4B7449DBB7B91E7.jpg
1_000516554_FA15-33759,男裝直筒水洗牛仔褲,2299.0,1399.0,000516554,22,不顯示,淺色靛藍,2020-02-21 17:27:54,https://awsresources.baozun.com/aws/96001088/20191203/E324489B51CC7182CD5DBBA1E83C7BD1.jpg
941825RESIN,男裝水洗基本款五袋緊身牛仔褲,2299.0,1399.0,000941825,26,不顯示,深灰色,2020-03-02 15:00:20,https://awsresources.baozun.com/aws/96001088/20190927/32C7056C03A26046317EBC562B8854FA.jpg
1_000516550_H105-10476,男裝直筒牛仔褲休閒褲,2299.0,1399.0,000516550,3,不顯示,夜影,2020-02-21 17:27:54,https://awsresources.baozun.com/aws/96001088/20191101/27F1CFFB211D0214A675FA70710CE778.jpg
1_000516553_FA09-05876,男裝休閒直筒牛仔褲,2299.0,1609.0,000516553,2,不顯示,水洗松香色,2020-02-21 17:27:54,https://awsresources.baozun.com/aws/96001088/20191119/E153D5D0812DCBCAB90CFEE40C6F612A.jpg
349790VINTAGE,男裝休閒中腰直筒牛仔褲,2299.0,1399.0,000349790,26,不顯示,復古,2020-03-02 15:00:20,https://awsresources.baozun.com/aws/96001088/20190922/D278AB630EC6D51467EAB404A31AC586.jpg
225549RESIN RINSE,男裝基本款修身直筒樹脂水洗彈力牛仔褲,2299.0,1399.0,000225549,17,不顯示,水洗藏藍,2020-03-02 15:00:20,https://awsresources.baozun.com/aws/96001088/20200224/0676241E1F28B1EE0955F8AA752CED99.jpg
1_000645165_SM14-32223,男裝時尚深色磨白牛仔褲,1999.0,1199.0,000645165,8,不顯示,黑色水洗,2020-02-21 17:27:55,https://awsresources.baozun.com/aws/96001088/20200323/C9D380551CB74AEA6BCC0DE302EFF32B.jpg
1_000518566_SP16-34287,男裝舒適高腰修身牛仔褲,2299.0,1399.0,000518566,20,不顯示,深藍色,2020-02-21 17:27:55,https://awsresources.baozun.com/aws/96001088/20191114/4B0FEE25E2D253FBB9F4595B189ECE2E.jpg
644885DARK BLUE,男裝基本款時尚舒適純棉直筒牛仔褲,2299.0,1609.0,000644885,8,不顯示,深藍,2020-02-21 17:27:55,https://awsresources.baozun.com/aws/96001088/20191231/107F429FF35F496B393A444BC8F78F6C.jpg
647267DARK INDIGO 1,男裝基本款簡約風格直筒牛仔褲,1999.0,1399.0,000647267,50,不顯示,深靛藍色,2020-02-21 17:27:55,https://awsresources.baozun.com/aws/96001088/20190816/ED1E963D230631405FE5E3C8A98B6172.jpg
912027MEDIUM DARK TINT,男裝1969丹甯深色水洗修身直筒牛仔褲,1999.0,1399.0,000912027,26,不顯示,深藍色,2020-02-21 17:27:55,https://awsresources.baozun.com/aws/96001088/20200224/1C10D867B929F78ABD42F4A028E314BF.jpg
912035RINSED,男裝深色水洗緊身窄腿牛仔褲,1999.0,1199.0,000912035,3,不顯示,水洗色,2020-02-21 17:27:55,https://awsresources.baozun.com/aws/96001088/20190831/54A293EAE913127F6FC0CCB80FA40BD9.jpg
355308BRIGHT MEDIUM,男裝彈力水洗直筒牛仔褲,2299.0,1609.0,000355308,24,不顯示,中度淡藍色,2020-03-02 15:00:20,https://awsresources.baozun.com/aws/96001088/20190927/2F0A20977DC6CA2E4EF494374021DBB9.jpg
989783BLACK,男裝黑色水洗中腰直筒牛仔褲,2299.0,1399.0,000989783,20,不顯示,黑色,2020-02-21 17:27:55,https://awsresources.baozun.com/aws/96001088/20190927/5D6DA87AADF2EEC2FBA686511602C9EB.jpg
1_000942590_SM14-32064,男裝時尚純色直筒牛仔褲,1699.0,1189.0,000942590,4,不顯示,水洗藏藍,2020-02-21 17:27:55,https://awsresources.baozun.com/aws/96001088/20200323/9065C6FBE083D03BF46CCF68BEE41FC8.jpg
180217RESIN RINSE,男裝基本款百搭修身中腰休閒牛仔褲,2299.0,1399.0,000180217,41,不顯示,水洗藏藍,2020-02-21 17:27:55,https://awsresources.baozun.com/aws/96001088/20190816/D69981246D2989B9B088A0F19E19E817.jpg
941822BLACK,男裝基本款復古黑色緊身水洗棉質牛仔褲,2299.0,1399.0,000941822,20,不顯示,黑色,2020-03-02 15:00:20,https://awsresources.baozun.com/aws/96001088/20190927/39370C19E60CF3C3713179212B69CD3C.jpg
1_000225554_F106-04396,男裝基本款修身直筒雙彈牛仔褲,2299.0,1609.0,000225554,27,不顯示,中度靛藍,2020-04-28 10:23:29,https://awsresources.baozun.com/aws/96001088/20200323/28742CE68E5348B6D8D5C3F0A57ED82F.jpg
443221DARK INDIGO V2,女裝塑形中腰緊身牛仔褲,2699.0,1889.0,000443221,12,不顯示,藏青色,2020-03-16 14:01:16,https://awsresources.baozun.com/aws/96001088/20191217/9D7CF501EAAFD2854DE8549D28BE1996.jpg
1_000499909_H106-11036,女裝簡約純色五口袋牛仔長褲,1699.0,1189.0,000499909,3,不顯示,淺靛藍,2020-05-29 11:14:04,https://awsresources.baozun.com/aws/96001088/20200323/08A29EE3139C590D6CDB32421968B6F3.jpg
417893TRUE BLACK V2,女裝簡約純色大口袋鬆緊休閒褲,1999.0,999.0,000417893,33,不顯示,純正黑色,2020-02-21 17:28:00,https://awsresources.baozun.com/aws/96001088/20200224/F0539309E727D0D44D7006EC7925797C.jpg
417893BABY TWEED,女裝簡約純色大口袋鬆緊休閒褲,1999.0,999.0,000417893,25,不顯示,橄欖綠,2020-02-21 17:28:00,https://awsresources.baozun.com/aws/96001088/20190816/CDACDA9403304173EDE6DE8C7D78F79F.jpg
1_000567943_HO10-11603,女裝Logo棉質縮口鬆緊休閒褲,1499.0,749.0,000567943,39,不顯示,海軍藍色,2020-03-17 16:02:11,https://awsresources.baozun.com/aws/96001088/20200323/B5E6B3BF8164334035ADA5B39BF82B18.jpg
1_000567943_HO15-34044,女裝Logo棉質縮口鬆緊休閒褲,1499.0,749.0,000567943,11,不顯示,亮麻灰色,2020-03-17 16:02:11,https://awsresources.baozun.com/aws/96001088/20200323/C8A9261B2C077F99A9E8D41D069B4CC9.jpg
417893VINTAGE NAVY 635,女裝簡約純色大口袋鬆緊休閒褲,1999.0,999.0,000417893,40,不顯示,復古海軍藍,2020-02-21 17:28:00,https://awsresources.baozun.com/aws/96001088/20190816/A0A2B1694A6BF82EAB6C434E104A56D5.jpg
